target,kepid,kepler_name,ra,dec,teff,srad,smass,dist_pc
KIC 9549648,9549648,Kepler-999,299.66046,46.198421,6157.0,1.695,1.173,545.063
KIC 10063802,10063802,Kepler-1000,286.68552,47.098221,6469.0,1.467,1.406,1115.62
KIC 11074178,11074178,Kepler-1001,286.27386,48.61871,5741.0,0.846,0.938,928.978
KIC 11030475,11030475,Kepler-1813,292.23993,48.51157,5167.0,0.787,0.812,
KIC 5942808,5942808,Kepler-1814,285.21667,41.282429,4922.0,0.823,0.79,726.346
KIC 6206214,6206214,Kepler-1158,292.23395,41.575211,6109.0,1.997,1.406,1484.25
KIC 8959839,8959839,Kepler-1159,294.26633,45.204311,6170.0,0.992,1.063,1213.71
KIC 7672097,7672097,Kepler-1160,287.87939,43.364071,5774.0,0.818,0.907,1077.63
KIC 6142862,6142862,,296.97107,41.46701,4275.0,0.533,0.525,
KIC 5599774,5599774,Kepler-1195,284.3511,40.852982,5093.0,0.709,0.707,918.566
KIC 8099138,8099138,Kepler-1196,292.36957,43.910809,5640.0,0.978,0.977,922.333
KIC 7033233,7033233,Kepler-1197,291.66928,42.59071,4670.0,0.682,0.761,486.94
KIC 6383785,6383785,Kepler-501,297.20154,41.730209,5794.0,1.216,1.032,1125.24
KIC 9411412,9411412,Kepler-1096,294.70938,45.969501,4229.0,0.615,0.625,377.976
KIC 7008211,7008211,Kepler-1097,281.59415,42.596409,5303.0,0.753,0.734,719.802
KIC 7620413,7620413,Kepler-1098,295.50269,43.232792,5579.0,1.029,0.945,1049.19
KIC 4545187,4545187,Kepler-121,286.16205,39.678001,5303.0,0.708,0.785,510.523
KIC 10854546,10854546,Kepler-1099,288.74994,48.277168,6153.0,1.109,1.077,1022.8
KIC 11774991,11774991,Kepler-367,297.29242,49.981628,4856.0,0.705,0.79,188.027
KIC 8261920,8261920,Kepler-1802,300.24222,44.141399,4245.0,0.637,0.649,636.694
KIC 9112931,9112931,Kepler-1161,299.07709,45.440639,4175.0,0.544,0.561,547.726
KIC 9071593,9071593,Kepler-1162,283.29214,45.434109,5225.0,0.859,0.861,940.211
KIC 8126558,8126558,Kepler-1815,300.1705,43.98497,5516.0,0.967,0.856,1006.63
